Source,Target
Sara de Vogelaer,Gerhardus van der Nypoort
Hester de Vogelaer,Jacob (Aernoutsz.) van Erp
Marcus de Vogelaer,Hieronymus van Uffelen
Marcus de Vogelaer,Jonker Hendrick Schaep
Maria de Vogelaer Marcusdr.,Albertus Rusius
Daniel de Vogelaer,Salomon Sweers
Arent Hoeffnagel,Jacob Westfrisius
Arent Hoeffnagel,Danckert Kempenaer
Arent Hoeffnagel,Susanna Hoefnagel
Arent Hoeffnagel,Margaretha Hoefnagel
Lodewijck Jansz. Blommaert,Margaretha Hoefnagel
Susanna Hoefnagel,Christiaen Huygens
Constantijn Huygens,Christiaen Huygens
Samuel Blommaert,Arnout Hoofman
Jan le Bruyn,Samuel Blommaert
Daniel Hoefnagel,Samuel Blommaert
Samuel Blommaert,Caspar de Vogelaer
Gerard Reynst,Catharina Reijnst
Samuel Blommaert,Catharina Reijnst
Samuel Blommaert,Gerard Reynst
Lodewijck Blommaert,Samuel Blommaert
Jackes Nijket (Niquet),Samuel Blommaert
Barbara Bloemaert,Samuel Blommaert
Lodewijck Blommaert,Catharina Reijnst
Jackes Nijket (Niquet),Catharina Reijnst
Barbara Bloemaert,Catharina Reijnst
Gerard Reynst,Barbara Bloemaert
Gerard Reynst,Lodewijck Blommaert
Gerard Reynst,Jackes Nijket (Niquet)
Barbara Bloemaert,Jackes Nijket (Niquet)
Margaretha Nicquet,Catharina Reijnst
Margaretha Nicquet,Gerard Reynst
Jackes Nijket (Niquet),Geertruyd Hinloopen
Geraert Blommaert,Catharina Reijnst
Geraert Blommaert,Samuel Blommaert
Gerard Reynst,Geraert Blommaert
Abraham Luls,Geraert Blommaert
Margaret Reynst,Geraert Blommaert
Abraham Luls,Catharina Reijnst
Margaret Reynst,Catharina Reijnst
Abraham Luls,Samuel Blommaert
Margaret Reynst,Samuel Blommaert
Margaret Reynst,Adam Bessels
Sion Luls,Abraham Luls
Margaret Reynst,Gerard Reynst
Sion Luls,Carel van Mander
Jacques Razet,Sion Luls
Salomon Goosens,Samuel Blommaert
Hans Vrancken ,Samuel Blommaert
Hans Rombouts,Samuel Blommaert
Samuel Blommaert,Dutch West India Company
Pieter Dircksz. Hasselaer,Samuel Blommaert
Allart Garbrantsz. (Schilt),Samuel Blommaert
Samuel Godijn,Samuel Blommaert
Samuel Godijn,Dutch West India Company
Andries Jansz. Van Aelst,Samuel Blommaert
Lodewijk Jansz. Van Aelst,Samuel Blommaert
Andries Jansz. Van Aelst,Lodewijk Jansz. Van Aelst
Axel Oxenstierna,Samuel Blommaert
Roelandt Savery,Samuel Blommaert
Jan (Hans II) Savery,Samuel Blommaert
Balthasar van der Ast,Samuel Blommaert
Cornelia Bouwers,Samuel Blommaert
Isaack Commelyn,Samuel Blommaert
Elisabeth Pieters,Samuel Blommaert
Jan (Hans II) Savery,Roelandt Savery
Cornelia Bouwers,Isaack Commelyn
Cornelia Bouwers,Elisabeth Pieters
Cornelia Bouwers,Catharina Reijnst
Isaack Commelyn,Catharina Reijnst
Elisabeth Pieters,Catharina Reijnst
Joan Ingels,P.C. Hooft
Lucas van Peenen,Jan Warnaerts
Pieter Jolijt,Lucas van Peenen
Catharina van Peen,Lucas van Peenen
Melchior van Hoorn,Lucas van Peenen
Susanna Jolijt Pieters,Lucas van Peenen
Cornelia van Hoorn,Lucas van Peenen
Isaack van Peenen,Lucas van Peenen
Pieter Jolijt,Catharina van Peen
Pieter Jolijt II,Lucas van Peenen
Pieter Jolijt II,Catharina van Peen
Pieter Jolijt II,Pieter Jolijt
Melchior van Hoorn,Susanna Jolijt Pieters
Cornelia van Hoorn,Melchior van Hoorn
Cornelia van Hoorn,Susanna Jolijt Pieters
Cornelia van Hoorn,Isaack van Peenen
Fransoijs de Heem,Palm Mathijs
Otto Roeloffs Walsburch,Fransoijs de Heem
Elisabeth van der Well,Laurens Lamberti
Adriaen Jacobsz. Van Noort,Laurens Lamberti
Elisabeth van der Well,Jan Pietersz. Du Bien
Elisabeth van der Well,Adriaen Jacobsz. Van Noort
Elisabeth van der Well,Cornelis Hoogenboom
Adriaen Jacobsz. Van Noort,Cornelis Hoogenboom
Adriaen Jacobsz. Van Noort,Griet Jans Root
Adriaen Jacobsz. Van Noort,Nicolaes (Claes) Corver
Adriaen Jacobsz. Van Noort,Frans Wolphertsz. Van den Bergh
Adriaen Jacobsz. Van Noort,Marten Codde
Hans van Solt III,Jan Bosch
Hans van Solt III,Hans van Solt II
Hans van Solt III,Maria de Wolf
Hans van Solt III,Agatha van Maerle
Hans van Solt III,Johan (Hans) van Maerlen 
Hans van Solt III,Maria van Marel
Agatha van Maerle,Johan (Hans) van Maerlen 
Agatha van Maerle,Maria van Marel
Johan (Hans) van Maerlen ,Maria van Marel
Johan (Hans) van Maerlen ,Guillame Bartolotti
Johan (Hans) van Maerlen ,Emanuel van Surck
Andries Dionijs Winijus (Winius),Jacob van Zwieten
Andries Dionijs Winijus (Winius),Dionysius Tjercksz.
Andries Dionijs Winijus (Winius),Maritgen Andriesdr. Vekemans
Dionysius Tjercksz.,Maritgen Andriesdr. Vekemans
Geertruyd van Rijn,Andries Dionijs Winijus (Winius)
Willem Jacobsz. Van Rijn,Geertruyd van Rijn
Trijntge Dircks,Geertruyd van Rijn
Willem Jacobsz. Van Rijn,Trijntge Dircks
Cornelis Jochums,Andries Dionijs Winijus (Winius)
Claes Adamsz.,Andries Dionijs Winijus (Winius)
Cornelis Jochums,Dionysius Tjercksz.
Claes Adamsz.,Dionysius Tjercksz.
Cornelis Jochums,Claes Adamsz.
Geert Lambrecht,Dionysius Tjercksz.
Geert Lambrecht,Geertruyd van Rijn
Thomas de Swaenn,Andries Dionijs Winijus (Winius)
Peter Marcelis,Andries Dionijs Winijus (Winius)
Gabriel Marcelis,Peter Marcelis
Celio Marcelis,Peter Marcelis
Celio Marcelis,Gabriel Marcelis
Jacob de Lange,Andries Dionijs Winijus (Winius)
Hans Marssou,Andries Dionijs Winijus (Winius)
Jacob de Lange,Hans Marssou
Jacques Bygoet (Bijgoet),Andries Dionijs Winijus (Winius)
Jacques Bygoet (Bijgoet),Dionysius Tjercksz.
Isaak Luttichuys,Andries Dionijs Winijus (Winius)
Isaak Luttichuys,Geertruyd van Rijn
Giertje Jans (Hermans),Giertje Jans (Hermans)
Harmen Luijcasz.,Giertje Jans (Hermans)
Luijcasz. Luijcasz.,Giertje Jans (Hermans)
Gerrit Jansz. Kock,Harmen Luijcasz.
Luijcasz. Luijcasz.,Harmen Luijcasz.
Aeltgen Claes,Giertje Jans (Hermans)
Annetge Hendrix,Giertje Jans (Hermans)
C. Verbeecq,Giertje Jans (Hermans)
Reijer Claesz.,Aeltgen Claes
Reijer Claesz.,Annetge Hendrix
Reijer Claesz.,Cornelis Hoogenboom
Reijer Claesz.,Maria Clock
Reijer Claesz.,Claes Martensz.
Reijer Claesz.,Griet Simonsdr.
Claes Martensz.,Griet Simonsdr.
Cathrijne Jans Appelman,Reijer Claesz.
Jan Simonsz. Appelman,Cathrijne Jans Appelman
Geertgen Alberts,Cathrijne Jans Appelman
Trijntgen Willems Kieff,Reijer Claesz.
Geertgen Alberts,Jan Simonsz. Appelman
Cornelis van Campen,Reijer Claesz.
Margrieta Loots,Reijer Claesz.
Aechtgen van Campen,Reijer Claesz.
Margrieta Loots,Cornelis van Campen
Aechtgen van Campen,Cornelis van Campen
Margrieta Loots,Aechtgen van Campen
Pieter Hermansz.,Reijer Claesz.
Anthony Auckema,Reijer Claesz.
Pieter Gerritsz. Hooft,Reijer Claesz.
Anthony Auckema,Pieter Gerritsz. Hooft
Hans Reyersz. Claesz.,Reijer Claesz.
Stijntgen Gerrits Niesen,Reijer Claesz.
Jan Gerritsz. Hooft,Reijer Claesz.
Pieter Gerritsz. Hooft,Reijer Claesz.
Pieter Gerritsz. Hooft,Jan Gerritsz. Hooft
Hans Reyersz. Claesz.,Stijntgen Gerrits Niesen
Jan Wischman,Laurens Lamberti
Margareta Ariaens,Laurens Lamberti
Margareta Ariaens,Jan Wischman
Sebastiaen van der Piet,Cornelis van Santvliet
Frans Jacobsz. Van Leeuwen,Cornelis van Santvliet
Carel Leendertsz. (Lenartsz.),Daniel Jansz. Van Beuningen
Carel Leendertsz. (Lenartsz.),Jan Willemsz. Bogaert
Carel Leendertsz. (Lenartsz.),Pieter Jacobsz. Elias
Carel Leendertsz. (Lenartsz.),Grietje van der Hart
Jan Willemsz. Bogaert,Pieter Jacobsz. Elias
Margrite Kaerl Lenaerts,Grietje van der Hart
Daniel Plancius,Margrite Kaerl Lenaerts
Pieter Plancius,Margrite Kaerl Lenaerts
Margrite Kaerl Lenaerts,Carel Leendertsz. (Lenartsz.)
Daniel Plancius,Pieter Plancius
Daniel Plancius,Grietje van der Hart
Daniel Plancius,Carel Leendertsz. (Lenartsz.)
Pieter Danielsz. Plantius,Jannetje (Judith) Persoij
Michiel Perseijn (Persoij),Pieter Danielsz. Plantius
Michiel Perseijn (Persoij),Jannetje (Judith) Persoij
Carel Leendertsz. (Lenartsz.),Jannetje (Judith) Persoij
Carel Leendertsz. (Lenartsz.),Pieter Danielsz. Plantius
Carel Leendertsz. (Lenartsz.),Michiel Perseijn (Persoij)
Pieter van Meldert,Barber Melder
Daniel Jansz. Van Beuningen,Barber Melder
Harmen Marinus,Daniel Jansz. Van Beuningen
Harmen Marinus,Neeltje Willems
Harmen Marinus,Annetje Marinus
Neeltje Willems,Annetje Marinus
Symon van der Does,Marinus Hermansz.
Marinus Hermansz.,Annetje Marinus
Marinus Hermansz.,Harmen Marinus
Marinus Hermansz.,Neeltje Willems
Jan Meynertsz.,Grietje Jans 2
Annetje Tysdr. ,Grietje Jans 2
Grietje Jans 2,Marinus Hermansz.
Nicolaes (Jansz.) Wassenaer,Daniel Jansz. Van Beuningen
Nicolaes (Jansz.) Wassenaer,Jan Jansz. Wassenaer
Nicolaes (Jansz.) Wassenaer,Jacob Barthoomeus van Ter Heyde (Jacob van der Heyde)
Nicolaes (Jansz.) Wassenaer,Barent Lampe
Nicolaes (Jansz.) Wassenaer,Griet Jacobsdr.
Griet Jacobsdr.,Machtelgen van Wassenaer
Nicolaes (Jansz.) Wassenaer,Machtelgen van Wassenaer
Griet Jacobsdr.,Jacob Barthoomeus van Ter Heyde (Jacob van der Heyde)
Machtelgen van Wassenaer,Jacob Barthoomeus van Ter Heyde (Jacob van der Heyde)
Machteltge Jans,Jan Jansz. Wassenaer
Johannes Wassenaer,Machteltge Jans
Johannes Wassenaer,Jan Jansz. Wassenaer
Maria Poppen,Michael Poppen
Maria Poppen,Johannes Wassenaer
Michael Poppen,Johannes Wassenaer
Johannes Claessen van Wassenaer,Nicolaes (Jansz.) Wassenaer
Neeltgen Gerrits Dirckszdr. Buytewech,Nicolaes (Jansz.) Wassenaer
Leyden Jan Gerritsz. Buytewech,Neeltgen Gerrits Dirckszdr. Buytewech
Johannes Claessen van Wassenaer,Neeltgen Gerrits Dirckszdr. Buytewech
Hendrick Persijn,Griet Jacobsdr.
Hendrick Persijn,Nicolaes (Jansz.) Wassenaer
Leyden Jan Gerritsz. Buytewech,Johannes Claessen van Wassenaer
Nicolaes (Jansz.) Wassenaer,Jacob van Zwieten
Jan Jansz. Wassenaer,Jacob van Zwieten
Jacob Barthoomeus van Ter Heyde (Jacob van der Heyde),Jacob van Zwieten
Barent van Someren,Daniel Jansz. Van Beuningen
Barent van Someren,Hans van Cleeff
Hendrick Duysterloo,Barent van Someren
Barent van Someren,Franchoys Strick
Barent van Someren,Carlo Hellemans
Barent van Someren,Adriaentgen Thomas
Hans van Someren,Barent van Someren
Pauwels van Someren,Barent van Someren
Pauwels van Someren,Hans van Someren
Pauwels van Someren,Adriaentgen Thomas
Barent van Someren,Cathalyntge Bisschops
Barent van Someren,Rembrandt van Rijn
Cathalyntge Bisschops,Pieter Heeseman
Adriaen van Nieulandt,Barent van Someren
Pieter Cornelisz. Blyenbergh,Barent van Someren
Pieter Cornelisz. Blyenbergh,Adriaen van Nieulandt
Jan Marines,Barent van Someren
Jan Marines,Adriaen van Nieulandt
Jan Marines,Pieter Cornelisz. Blyenbergh
Dianora (Leonora) Mytens,Barent van Someren
Anna van Someren,Dianora (Leonora) Mytens
Sara van Someren,Dianora (Leonora) Mytens
Aert van Someren,Dianora (Leonora) Mytens
Hendrick van Someren,Dianora (Leonora) Mytens
Maria van Someren,Dianora (Leonora) Mytens
Leonora van Someren,Dianora (Leonora) Mytens
Constantia van Someren,Dianora (Leonora) Mytens
Susanna van Someren,Dianora (Leonora) Mytens
Anna van Someren,Barent van Someren
Sara van Someren,Barent van Someren
Aert van Someren,Barent van Someren
Hendrick van Someren,Barent van Someren
Maria van Someren,Barent van Someren
Leonora van Someren,Barent van Someren
Constantia van Someren,Barent van Someren
Susanna van Someren,Barent van Someren
Anna van Someren,Sara van Someren
Anna van Someren,Aert van Someren
Anna van Someren,Hendrick van Someren
Anna van Someren,Maria van Someren
Anna van Someren,Leonora van Someren
Anna van Someren,Constantia van Someren
Anna van Someren,Susanna van Someren
Sara van Someren,Aert van Someren
Sara van Someren,Hendrick van Someren
Sara van Someren,Maria van Someren
Sara van Someren,Leonora van Someren
Sara van Someren,Constantia van Someren
Sara van Someren,Susanna van Someren
Aert van Someren,Hendrick van Someren
Aert van Someren,Maria van Someren
Aert van Someren,Leonora van Someren
Aert van Someren,Constantia van Someren
Aert van Someren,Susanna van Someren
Hendrick van Someren,Maria van Someren
Hendrick van Someren,Leonora van Someren
Hendrick van Someren,Constantia van Someren
Hendrick van Someren,Susanna van Someren
Maria van Someren,Leonora van Someren
Maria van Someren,Constantia van Someren
Maria van Someren,Susanna van Someren
Leonora van Someren,Constantia van Someren
Leonora van Someren,Susanna van Someren
Constantia van Someren,Susanna van Someren
Hans Wynants,Daniel Jansz. Van Beuningen
Hans Wynants,Dutch East India Company
Joris Wynants,Hans Wynants
Joris Wynants,Catelijn Snyers (van Dolenbergh)
Hans Wynants,Catelijn Snyers (van Dolenbergh)
Hans Hongte,Joris Wynants
Hans Hongte,Hans Wynants
Hans Hongte,Catelijn Snyers (van Dolenbergh)
Francois Gysels,Dutch East India Company
Hendrick van Riet,Dutch East India Company
Francois Gysels,Hendrick van Riet
Francois Gysels,Hans Wynants
Hendrick van Riet,Hans Wynants
Joris Wynants II,Hans Wynants
Abraham Wynants,Hans Wynants
Isaac Wynants,Hans Wynants
Jacob Wynants,Hans Wynants
Joris Wynants II,Catelijn Snyers (van Dolenbergh)
Abraham Wynants,Catelijn Snyers (van Dolenbergh)
Isaac Wynants,Catelijn Snyers (van Dolenbergh)
Jacob Wynants,Catelijn Snyers (van Dolenbergh)
Joris Wynants II,Abraham Wynants
Joris Wynants II,Isaac Wynants
Joris Wynants II,Jacob Wynants
Isaac Wynants,Abraham Wynants
Jacob Wynants,Abraham Wynants
Egbert Bisschop,Daniel Jansz. Van Beuningen
Aeltge Feuler,Egbert Bisschop
Aeltge Feuler,Daniel Jansz. Van Beuningen
Suanna Robbrecht Zollewaerts,Aeltge Feuler
Johan Fauler (Fowler),Aeltge Feuler
Suanna Robbrecht Zollewaerts,Johan Fauler (Fowler)
Rederick Feulerus,Aeltge Feuler
Rederick Feulerus,Johan Fauler (Fowler)
Jan de Weij,Willem Cats
Willem Cats,Rederick Feulerus
Jan de Weij,Rederick Feulerus
Jacob van Zwieten,Rederick Feulerus
Jacob van Zwieten,Willem Cats
Jacob van Zwieten,Jan de Weij
Jan Willemsz. Palmboom,Daniel Jansz. Van Beuningen
Jan Willemsz. Palmboom,Catelyn van Ruysch
Jan Willemsz. Palmboom,Sara Willems Palmboom
Catelyn van Ruysch,Sara Willems Palmboom
Michiel Kuijpers,Daniel Jansz. Van Beuningen
Michiel Kuijpers,Marten Imbrecht
Arijaentge Michiels,Michiel Kuijpers
Sara Kuijpers,Arijaentge Michiels
Neel Jans,Arijaentge Michiels
Sara Kuijpers,Michiel Kuijpers
Neel Jans,Michiel Kuijpers
Sara Kuijpers,Neel Jans
Pieter Lefebvre I,Daniel Jansz. Van Beuningen
Pieter Lefebvre I,Catherine le Maijre
Catharina Lefebvre,Catharina Lefebvre
Pieter Lefebvre I,Pieter Lefebvre II
Pieter Lefebvre I,Samuel Lefebvre
Pieter Lefebvre I,Susanna le Febure
Pieter Lefebvre I,Anneken Lefebvre 
Pieter Lefebvre I,Jacques Lefebvre
Catherine le Maijre,Pieter Lefebvre II
Catherine le Maijre,Samuel Lefebvre
Catherine le Maijre,Susanna le Febure
Catherine le Maijre,Anneken Lefebvre 
Catherine le Maijre,Jacques Lefebvre
Catharina Lefebvre,Pieter Lefebvre II
Catharina Lefebvre,Samuel Lefebvre
Catharina Lefebvre,Susanna le Febure
Catharina Lefebvre,Anneken Lefebvre 
Catharina Lefebvre,Jacques Lefebvre
Pieter Lefebvre II,Samuel Lefebvre
Pieter Lefebvre II,Susanna le Febure
Pieter Lefebvre II,Anneken Lefebvre 
Pieter Lefebvre II,Jacques Lefebvre
Samuel Lefebvre,Susanna le Febure
Samuel Lefebvre,Anneken Lefebvre 
Samuel Lefebvre,Jacques Lefebvre
Susanna le Febure,Anneken Lefebvre 
Susanna le Febure,Jacques Lefebvre
Anneken Lefebvre ,Jacques Lefebvre
Janneken Milloents,Catharina Lefebvre
Robert Luykas,Catharina Lefebvre
Pieter Lefebvre I,Janneken Milloents
Catherine le Maijre,Robert Luykas
Robert Luykas,Pieter Lefebvre I
Catherine le Maijre,Janneken Milloents
Marie Garnier,Samuel Lefebvre
Marie Garnier,Catherine le Maijre
Marie Garnier,Pieter Lefebvre I
Elisabeth Charette,Abraham Lefebvre
Hans Lemaijre,Abraham Lefebvre
Catherine le Maijre,Abraham Lefebvre
Pieter Lefebvre I,Abraham Lefebvre
Elisabeth Charette,Catherine le Maijre
Hans Lemaijre,Catherine le Maijre
Elisabeth Charette,Pieter Lefebvre I
Hans Lemaijre,Pieter Lefebvre I
Anthony Claesz. De jonge,Pieter Lefebvre I
Nicole Wimer (Wijmer),Pieter Lefebvre I
Pieter Wijmer,Pieter Lefebvre I
Pieter Wijmer,Nicole Wimer (Wijmer)
Jenne (Joanna) Wijmer,Pieter Lefebvre I
Guilliamme Six,Pieter Lefebvre I
Jenne (Joanna) Wijmer,Nicole Wimer (Wijmer)
Guilliamme Six,Nicole Wimer (Wijmer)
Jenne (Joanna) Wijmer,Pieter Wijmer
Guilliamme Six,Pieter Wijmer
Jenne (Joanna) Wijmer,Guilliamme Six
Willem Six,Guilliamme Six
Willem Six,Jenne (Joanna) Wijmer
Nicolaes Hespel,Samuel Hespel
Nicolaes Hespel,Pieter Lefebvre I
Carel Cotteman,Pieter Lefebvre I
Pieter Gaillard,Pieter Lefebvre I
Carel Cotteman,Pieter Gaillard
Abraham le Febure I,Pieter Lefebvre I
Abraham le Febure I,Magdalena le Febure
Magdalena le Febure,Pieter Lefebvre I
Johannes van Heusden II,Magdalena le Febure
Johannes van Heusden,Magdalena le Febure
Johannes van Heusden II,Johannes van Heusden
Gabrant van Warmenhuysen,Susanna le Febure
Susanna le Febure,Catherine le Maijre
Susanna le Febure,Pieter Lefebvre I
Hans Lemaijre,Josias Marschal
Hans Lemaijre,Pieter Lefebvre I
Josias Marschal,Pieter Lefebvre I
Hans Lemaijre,Susanna le Febure
Josias Marschal,Susanna le Febure
Hans Lemaijre,Gabrant van Warmenhuysen
Josias Marschal,Gabrant van Warmenhuysen
Jeremias Hachgens,Gabrant van Warmenhuysen
Jeremias Hachgens,Catharina Lefebvre
Hans Lemaijre,Willem Six
Anneken Lefebvre ,Hans Lemaijre
Anneken Lefebvre ,Willem Six
Anneken Lefebvre ,Pieter Wijmer
Pieter Lefebvre I,Jacques Lefebvre
Sara Briels,Pieter le Febure III
Margaretha Steets,Pieter le Febure III
Magdalena Jouderville,Pieter le Feber IV
Magdalena Jouderville,Juliaen Teniers
Abraham le Febure I,Maria Abrahams
Abraham le Febure I,Pieter van Beyerlant
Pieter van Beyerlant,Maria Abrahams
Pieter van Beyerlant,Abraham Willemsz. Van Beyerlant
Denis Denijsz.,Pieter Lefebvre I
Harmen Reyniersz.,Pieter Lefebvre I
Pieter Denijs,Pieter Lefebvre I
Diego Gomes da Costa,Pieter Lefebvre I
Matias Rodrigues Cardoso,Pieter Lefebvre I
David Abeniacar,Pieter Lefebvre I
Abraham le Febure I,Pieter Lefebvre I
Denis Denijsz.,Harmen Reyniersz.
Denis Denijsz.,Pieter Denijs
Denis Denijsz.,Diego Gomes da Costa
Denis Denijsz.,Matias Rodrigues Cardoso
Denis Denijsz.,David Abeniacar
Denis Denijsz.,Abraham le Febure I
Pieter Denijs,Harmen Reyniersz.
Diego Gomes da Costa,Harmen Reyniersz.
Matias Rodrigues Cardoso,Harmen Reyniersz.
David Abeniacar,Harmen Reyniersz.
Abraham le Febure I,Harmen Reyniersz.
Pieter Denijs,Diego Gomes da Costa
Pieter Denijs,Matias Rodrigues Cardoso
Pieter Denijs,David Abeniacar
Pieter Denijs,Abraham le Febure I
Diego Gomes da Costa,Matias Rodrigues Cardoso
Diego Gomes da Costa,David Abeniacar
Diego Gomes da Costa,Abraham le Febure I
Matias Rodrigues Cardoso,David Abeniacar
Matias Rodrigues Cardoso,Abraham le Febure I
David Abeniacar,Abraham le Febure I
Samuel Kooren I,Daniel Jansz. Van Beuningen
Samuel Kooren I,Charles Gillisz. Cooren
Samuel Kooren I,David Buys
Samuel Kooren I,Susanna Cornelis (Cocquels)
Cornelis (Ariaensz.) Roo,Samuel Kooren I
Cornelis (Ariaensz.) Roo,Susanna Cornelis (Cocquels)
Samuel Kooren II,Susanna Cornelis (Cocquels)
Catelijn Kooren,Susanna Cornelis (Cocquels)
Samuel Kooren III,Susanna Cornelis (Cocquels)
Cornelis (Ariaensz.) Roo,Samuel Kooren I
Samuel Kooren II,Samuel Kooren I
Catelijn Kooren,Samuel Kooren I
Samuel Kooren III,Samuel Kooren I
Samuel Kooren II,Cornelis (Ariaensz.) Roo
Catelijn Kooren,Cornelis (Ariaensz.) Roo
Samuel Kooren III,Cornelis (Ariaensz.) Roo
Catelijn Kooren,Samuel Kooren II
Samuel Kooren III,Samuel Kooren II
Catelijn Kooren,Samuel Kooren III
Samuel Kooren II,Anna Anselmes
Samuel Kooren I,Anna Anselmes
Susanna Cornelis (Cocquels),Anna Anselmes
Samuel Kooren I,Catelijn Gout
Susanna Cornelis (Cocquels),Catelijn Gout
Catelijn Kooren,Catelijn Gout
Samuel Kooren III,James Zant
Samuel Kooren I,James Zant
Susanna Cornelis (Cocquels),James Zant
Philips Vinson,Susanna Cornelis (Cocquels)
Philips Vinson,Samuel Kooren I
Philips Vinson,Samuel Kooren III
Philips Vinson,Catelijn Kooren
Daniel van Haringhoeck,Daniel Jansz. Van Beuningen
Daniel van Haringhoeck,Jonas Cabbeliau
Daniel van Haringhoeck,Jan Luijtens
Daniel van Haringhoeck,Marinus Huybrechts
Daniel van Haringhoeck,Adriaen Huybrechts
Daniel van Haringhoeck,Pieter van der Voorde
Daniel van Haringhoeck,Jan van Haringhoeck
Daniel van Haringhoeck,Pieter Jacobsz.
Daniel van Haringhoeck,Abraham Willemsz. Van Beyerlant
Jan Luijtens,Jonas Cabbeliau
Marinus Huybrechts,Jonas Cabbeliau
Adriaen Huybrechts,Jonas Cabbeliau
Pieter van der Voorde,Jonas Cabbeliau
Jan van Haringhoeck,Jonas Cabbeliau
Pieter Jacobsz.,Jonas Cabbeliau
Abraham Willemsz. Van Beyerlant,Jonas Cabbeliau
Marinus Huybrechts,Jan Luijtens
Adriaen Huybrechts,Jan Luijtens
Pieter van der Voorde,Jan Luijtens
Jan van Haringhoeck,Jan Luijtens
Pieter Jacobsz.,Jan Luijtens
Abraham Willemsz. Van Beyerlant,Jan Luijtens
Marinus Huybrechts,Adriaen Huybrechts
Marinus Huybrechts,Pieter van der Voorde
Marinus Huybrechts,Jan van Haringhoeck
Marinus Huybrechts,Pieter Jacobsz.
Marinus Huybrechts,Abraham Willemsz. Van Beyerlant
Pieter van der Voorde,Adriaen Huybrechts
Jan van Haringhoeck,Adriaen Huybrechts
Pieter Jacobsz.,Adriaen Huybrechts
Abraham Willemsz. Van Beyerlant,Adriaen Huybrechts
Pieter van der Voorde,Jan van Haringhoeck
Pieter van der Voorde,Pieter Jacobsz.
Pieter van der Voorde,Abraham Willemsz. Van Beyerlant
Pieter Jacobsz.,Jan van Haringhoeck
Abraham Willemsz. Van Beyerlant,Jan van Haringhoeck
Pieter Jacobsz.,Abraham Willemsz. Van Beyerlant
Daniel van Haringhoeck,Dutch East India Company
Maria van Haringhoeck,Daniel van Haringhoeck
Gerard van Santen,Daniel van Haringhoeck
Maria van Haringhoeck,Gerard van Santen
Thomas Cave,Maria van Haringhoeck
Eduart de Man,Maria van Haringhoeck
Thomas Cave,Gerard van Santen
Eduart de Man,Gerard van Santen
Thomas Cave,Daniel van Haringhoeck
Eduart de Man,Daniel van Haringhoeck
Daniel van Haringhoeck II,Maria van Haringhoeck
Maria van Haringhoeck II,Maria van Haringhoeck
Daniel van Haringhoeck II,Gerard van Santen
Maria van Haringhoeck II,Gerard van Santen
Daniel van Haringhoeck II,Maria van Haringhoeck II
Gerrit Blankevoort,Maria van Haringhoeck II
Gerrit Blankevoort,Daniel van Haringhoeck II
Elisabeth Bennincx,Daniel van Haringhoeck
Abigael van Haringhoeck,Daniel van Haringhoeck
Jan Braems,Daniel van Haringhoeck
Abigael van Haringhoeck,Elisabeth Bennincx
Jan Braems,Elisabeth Bennincx
Abigael van Haringhoeck,Jan Braems
Samuel Monio,Daniel van Haringhoeck II
Jacob Ras,Daniel van Haringhoeck II
Samuel Monio,Jacob Ras
Symen Thonisz.,Daniel Jansz. Van Beuningen
Anne Jans,Symen Thonisz.
Pieter Mercijs,Symen Thonisz.
Cornelis van der Blocke,Symen Thonisz.
Govert Thonisz.,Symen Thonisz.
Govert Thonisz.,Anne Jans
Elisabeth Thonisz.,Anne Jans
Elisabeth Thonisz.,Anne Jans
Elisabeth Thonisz.,Symen Thonisz.
Elisabeth Thonisz.,Symen Thonisz.
Elisabeth Thonisz.,Govert Thonisz.
Ester Jans,Elisabeth Thonisz.
Ester Jans,Govert Thonisz.
Ester Jans,Symen Thonisz.
Ester Jans,Anne Jans
Marij Jans,Elisabeth Thonisz.
Marij Jans,Govert Thonisz.
Marij Jans,Symen Thonisz.
Marij Jans,Anne Jans
Marij Jans,Ester Jans
Pieter Thonisz.,Symen Thonisz.
Hendrick Theunisz.,Symen Thonisz.
Lysbeth Jans,Hendrick Theunisz.
Lysbeth Jans,Anne Jans
Lysbeth Jans,Ester Jans
Lysbeth Jans,Marij Jans
Mary Jacobs,Laurens Lamberti
Jan Claesz. Hollesloot,Laurens Lamberti
Mary Jacobs,Jan Claesz. Hollesloot
Andries Hollesloot,Mary Jacobs
Jan Claesz. Hollesloot,Andries Hollesloot
Lysbeth Claes Hollesloot,Jan Claesz. Hollesloot
Lysbeth Claes Hollesloot,Mary Jacobs
Willem van Hasdonck,Jan Claesz. Hollesloot
Meynert Jansz.,Jan Claesz. Hollesloot
Sebastian Dudok van Heel,Mary Jacobs
Lysbeth Claes Hollesloot,Jacob Pietersz. Codde
Cornelis Dankertsz.,Jan Claesz. Hollesloot
Claes Andriaensz. Van Delft,Jan Claesz. Hollesloot
Cornelis Dankertsz.,Claes Andriaensz. Van Delft
Claes Andriaensz. Van Delft,Dirck Ariaensz. Van Delft
Claes Andriaensz. Van Delft,Pieter Ariaensz. Van Delft
Dirck Ariaensz. Van Delft,Pieter Ariaensz. Van Delft
Hendrick de Keyser,Claes Andriaensz. Van Delft
Hendrick de Keyser,Pieter Ariaensz. Van Delft
Jacomijntje Pieters,Cornelis van der Blocke
Jacomijntje Pieters,Jan Claesz. Hollesloot
