Record No.,Inventory No.,Archive Name,Archive Call Number,Archive Type,Date of Appraisal,Owner Last Name,Inv. City,Inv. Count,Inv. Country,Art Value,Inv. Value,Owner Life Dates,Marriage Date,Ceremony,Additional Names,Owner Full Name,Sex,Notary,Occupation,Purpose,Religion,Residence,Biographical Notes,Intro Text
552,653,Gemeentearchief Amsterdam,WK 5073/961,Orphan Chamber,1635/01/09,Thonisz.,Amsterdam,30,Nederland,53 |d  9 st.,632 |d ,,,,and his wife Anne Jans,"Thonisz., Symen",B,Daniel Jansz. van Beuningen,,auction,,Op Uijlenberch in Amsterdam,"Symen Thonisz. may possibly  be identical with the buyer named Symon Theunissen, afsetter (illuminator of maps or prints), who bought a travel coffer at the sale of Pieter Mercijs (INVNO 578) on 13 February 1625. He may also be identical with the same (?) individual who bought many lots at the sale of the sculptor Cornelis van der Block (INVNO 631) on 12 May 1629, although the latter is more likely to have been a carpenter. The following baptismal records undoubtedly refer to the owner of the goods in this sale. On 2 September 1618, Sijmon Teunisz. and his wife Anne Jans had their son Govert baptized in the N.K. in the presence of Marij Jans (DTB 40/17). On 13 March 1629, the same parents had their daughter Elisabeth baptized in the N.K. in the presence of Ester Jans (DTB 41/13). Symen Thonisz. may have been the brother of Pieter Thonisz. (one of the buyers at the sale), who in turn may have been the painter of that name (see the NOTES to R 8388 of Montias2),  and of Hendrick Theunisz., likewise a buyer (R 8368 of Montias2), who married Lysbeth Jans (the sister of Anne, Marij, and Ester Jans ?).",Den 9e januarij 1635 sijn de naergelaten goederen van Symen Thonisz. ende Anne Jans zal. vercocht.
647,744,Gemeentearchief Amsterdam,WK 5073/961,Orphan Chamber,1636/02/06,Maes,Amsterdam,11,Nederland,37 |d  6 st.,"787 |d 5 st,",1582 |d c. 1636  |n Maes; 1587 |d c. 1636  |n Pieters,1615/10/03,K,and his wife Trijntge Pieters,"Maes, Jan",B,Daniel van Beuningen,"Retail merchant |a Wine, beer distributor",auction,,Op de Zeedijck in Amsterdam,"On 3 October 1615, Jan Maes, from Zevender, wine distributor, 33 years old, living on the Verwerssingel (for 28 years), no living parents, was betrothed to Trijntie Pieters, 28, from Rinsmageest,  living on the Zeedijck, assisted by her acquaintance  Maritgen Gerrits (DTB 419/238). In January (?) 1628, Pieter Hermansz., wine dealer (cited in the TEXT of R 391), sold a house on the Zeedijck to Jan Maes, wine dealer, for 2,300 f. (WK 5073/913). On 16 January 1636, Dirck Maes, as the uncle of Dirck, 14, Pieter, 13, Gerrit, 12, Coren(?) and Jannetje, twins, 11, Gierten, 10, Grietgen, 7, Jannetgen, 6, the children of Jan Maes, wine dealer, whose mother was Trijntgen Pieters, brought some assets to the Orphan Chamber on the children's behalf (WK 5073/7089). The wine dealer should not be confused with Jan Maes, married to Anna van der Meer who died before 1 March 1652 when his widow signed a marriage contract with the tobacco dealer Paulus van Heemskerck (INVNO 1173). It is not clear which of the two, if not a third individual with this name, living on the Rockin, paid a tax of 30 f. in 1631 (Kohier, fol. 251, p. 57).",Den 6en february sijn vercocht de naergelate goederen van Jan Maes ende Trijntge Pieters.
648,745,Gemeentearchief Amsterdam,WK 5073/961,Orphan Chamber,1635/03/08,Livens,Amsterdam,5,Nederland,14 |d  4 st.,210 |d  17 st.,,,,,"Livens, Styntgen",F,Daniel van Beuningen,,auction,,In de Lijnbaensteegh in Amsterdam,,Den 8 martij 1635 zijn de naergelaten goederen van Styntgen Livens vercocht.
649,746,Gemeentearchief Amsterdam,WK 5073/961,Orphan Chamber,1635/04/13,Marcken,Amsterdam,15,Nederland,42 |d  3 st.,762 |d  18 st.,?|d 1634,,,,"Marcken, Hendrick van",M,Gerrit Jacobsz. Haringh,Liberal profession |a Lawyer,auction,,Op de O.Z. Achterburchwal in Amsterdam,"The procuror Hendrick van Marcken was married to Maritgen Everts de Swart. He was an attorney before the court (de Vierschaer) of Amsterdam. He was portrayed as a shooter in the company of Reynst Pietersz. in a group portrait by Dirck Barentsz. in 1585 (Oud Holland 15(1897), p. 136). He was the father of Frans van Marcken of R 23546 of Montias2, sheriff of Amstelveen in 1635; of Maritgen van Marcken, married to Andries Mombers; of Diewertgen van Marcken, married to Pieter Cornelisz.; and of Aeltgen van Marcken, married to Barent Gerritsz. Bernardyns, who died before 11 May 1629, when she appeared before the Orphan Chamber as a widow with children (WK 5073/789). Aeltgen van Marcken apparently remarried with Jan Garbrantsz., ship's carpenter, before 9 January 1636, when she was scheduled to appear before the Commissary for Small Affairs (commissaris voor cleijne saecken) (NA 991, fol. 1, Not. J. Bosch).  On 29 July 1632, Anna Claes, assisted by her guardian Hendrick Claesz. van Marcken, appeared before the Orphan Chamber on behalf of her children with her late husband, a shoemaker (WK 5073/789). Hendrick van Marcken was portrayed, possibly by Cornelis Ketel or by Dirck Barendsz., approximately in 1609, in the Korporaalschap of Reynst Pietersz. and vaandrig Claes Claesz. Kruijs (Blankert, Amsterdams Historisch Museum, p. 404). In 1602, Reijnier Paeuw invested 100 f. for Hendrick van Marckel in the first subscription for V.O.C. shares (Van Dillen, Het oudste aandeelhoudersregister, p. 251). Hendrick van Marcken was a buyer of porceleijn at an Orphan Chamber sale of 16 October 1626 (WK 5073/952). Hendrick van Marcken must have died in late 1634 or early 1635 when his family came to an agreement on the settlement of the estate. which had apparently had more assets than debts and was to be turned over to his creditors. The agreement was  signed on 11 February 1635 by the widow Maritgen Everts de Swart; by Frederick Harmensz. Dickstein, her brother-in-law; by her nephew and guardian Jan Pauw; by her son Frans van Marcken; by Andries Mombers, married to Maritgen van Marcken; by Pieter Cornelisz., married to Dieuwertgen van Marcken; and by Aeltge van Marcken, widow of Barent Gerritsz. (Bernardyn) (NA 991, film 1220, fol.25, Not. Jan Bosch). On 14 March 1636, Maritge de Swart, widow of Hendrick van Marcken, named Hugo van Groenewegen to defend her against Frans van Marcken, Schout of Amstelveen (NA 991, fol.26, Not. J. Bosch).",Op den 13e april 1635 zijn de naergelaten goederen vercoft van Procureur Hendrick van Marcken.
736,832,Gemeentearchief Amsterdam,WK 5073/962,Orphan Chamber,1637/03/09,Basse,Amsterdam,2626,Nederland,7762 |d ,8150 |d  12 st.,1568 |d 1636,1611/05/19,K,"paintings, prints etc.. sold by Pieter Jacobsz. Indische Raven","Basse, Jan",M,Daniel Jansz. van Beuningen,Artist |a Painter,auction,,Op de Prinsegracht in Amsterdam,"On 12 March 1637, Daniel Mijtens, who was acting as agent for Thomas Howard, Earl of Arundel, reported to the earl's secretary that the auction or outcry of Jan Basse in Amsterdam had begun. He opined, however, that, although there was a large number of prints and drawings in the sale, there were verie fewe pictures, not for my Lordes turne (cited by Jaap van der Veen in Burlington Magazine, March 2004). This is the only contemporary comment on an Amsterdam sale that has come to light. Jan Basse de Oude, from Rijssel (Lille), 43 years old, assisted by Guiljam Basse (I), his father, was betrothed on 19 May 1611 to Cornelia Kief, 24, assisted by her mother Anna van Liesveld. He lived on the O.Z. Voorburgwal, she on the Koningstraet (betrothal in the Church) (Oud Holland, 3(1885), p. 60.) On 25 December 1616, Jean Basse and Cornelia Kif  had their son Henrij baptized in the Walloon Church in the presence of Diricq Kif and Jenne Derondeau, femme de Guillaume Basse le jeune (DTB 130/39).  On Guillaum Basse and Jeanne Derondeau (or Arondeau), see R 31003 of Montias2. On 4 August 1624, Jan Basse and Cornelia Kif had their daughter Cornelia baptized in the same church in the presence of Guillame Basse and Catherine Kif, femme d'Israel Jerbier (DTB 130/39). On Israel Jerbier, a buyer at WK auction, see R 23616.  The seller of the goods, Pieter Jacobsz. Indische Raven (II), is presumed to be the son of Pieter Jacobsz. Indische Raven de oude (I),  who died shortly before January 1626 (R 31326 of Montias2). In 1634, Jan Basse lived on the Uytrechtsche Steyger, next to the cakebaker Marcus Jansz. (NA 771, act dated 12 December 1634).  In the introduction to the inventory taken of the goods of Jan Basse on 6 January 1637 by Notary Pieter Barcman, it was noted that Pieter Indische Raven, guardian of Willem Basse, son of Jan Basse, had requested the inventory, along with Hendrikje Basse, daughter of the late Jan Basse de jonge. The inventory was also made op 't aengeven of Willem Basse and Jannetge Andries, the widow of the foresaid Jan Basse de jonge (Bredius, KÃ¼nstler-inventare, vol. 1, p. 129.) According to the accounting delivered by Pieter Indische Raven to the Orphan Chamber on 22 June 1640, some of the assets left by Jan Basse I were given to Guilliam Basse, the uncle of Henrickge, the daughter left by Jan Basse II, and some to Janneke Andries, the widow of Jan Basse II (WK 5073/789, fol. 244. For other details, see the NOTES to R 7637 of Montias2.","Den 9e marty 1637 zijn de naergelaten rariteijten, steengewassen, silver ende goudse medaelen, printen ende teeckeningen, schilderyen etc.. van za. Jan Basse door Pieter Jacobsz. Indische Raven vercocht ende dat op conditien soo [iemandt] in dese vendities iet komt te kopen gehouden sal te stellen suffisant borghen dan genieten den tijt van ses weecken ende geen borgh stellende gehouden sal zijn contant te betaelen. [The household goods, not including any art objects, were sold on 1 April 1637 and brought only 153 f. 1 st. They were also sold by Pieter Jacobsz. Indische Raven.]"
740,836,Gemeentearchief Amsterdam,WK 5073/961,Orphan Chamber,1636/08/14,Jansz.,Amsterdam,14,Nederland,21 |d  7 st.,479 |d  19 st.,,,,and Annetge Harmans,"Jansz., Arent",B,Daniel Jansz. van Beuningen,"Craft |a Carpenter, joiner, framemaker",auction,,Aende Blauw Brugh achter de pikeur stal in Amsterdam,"Many frames were sold in the sale, including 30 for 4 st. a piece. From this it may tentatily be deduced that Arent Jansz. was a framemaker.  Among the buyers of frames were Marten Elbertsz. Oom in't Moriaensstraet, Willem Claes kistemacker (coffin maker, joiner) on Uijlenburch in de Bataviers dwarsstraet, Harmen Dommer ebbenhoutwercker (ebony woodworker) in de Gasthuysmolensteech, Cornelis Theunisz. kistemacker, Symon Hendricksz. kistemacker, Jan Willemsz. Bos in de Molsteech. Harmen Dommer was the frameworker portrayed by Rembrandt in 1640 (Strauss, Rembrandt Documents, p. 318.) On an important document, dated 18 November 1625, concerning the ebony workers of Amsterdam, including Harmen Dommer and Jan Willemsz. Bos, see Van Dillen, Bronnen tot de geschiedenis van het bedrijfsleven R.G.P. 78(1933), pp. 584-5.",Den 14e august 1636 zijn de naergelaten goederen van Arent Jansz. ende Annetge Harmans vercocht
741,837,Gemeentearchief Amsterdam,WK 5073/962,Orphan Chamber,1637/01/27,Jacobsz.,Amsterdam,23,Nederland,38 |d  3 st.,1315 |d 4 st.,,,,and Lysbeth Pieroots. Goods sold at request of Adriaen Braems.,"Jacobsz., Benijamijn",B,Daniel Jansz. van Beuningen,,auction,,Int Sinte Claes straet in Amsterdam,"Adriaen Braems, of R 25313 of Montias2,  at whose request the goods in this sale were sold sale,  helped to administer the Orphan Chamber (see Borgtochten, WK 5073/903). He paid a tax of 15 f. in 1631, when he lived on the Warmoesstraet.",Den 28e january 1637 sijn de naergelaten goederen van Benijamin Jacobsz. ende Lysbeth Pieroots door Adriaen Braems vercocht.
788,920,Gemeentearchief Amsterdam,WK 5073/961,Orphan Chamber,1635/05/26,Loo,Amsterdam,4,Nederland,7 |d  5 st.,1474 |d  19 st.,?  |d  c. 1635,,,,"Loo, Pieter Jansz. van",M,Daniel Jansz. van Beuningen,"Services |a Tax farmer, tax collector",auction,,Op de Blomgracht in Amsterdam,"The works of art owned by Pieter Jansz. van Loo may have been sold separately. The present  sale contained some silver and a few jewels, including a diamond, which was sold to Sara IJsacx (of R 27195 of Montias2) for 11 f. 5 st. Pieter Jansz van Loo lived op de Dam (on the N.Z.) in 1606 when he bought lots in the Haarlem lottery for 7 f. (GAA 119/22 F 882). This address corresponds to the one he gave when he seems to have been underbidder for three lots in 1609 (including R 29436, where he gave his address as  in de 3 Vijseltgens op den Dam, where auction sales were frequently held). . On 6 May 1613, Pieter Jansz. van Loo was said to be impost meester van de bieren (Van Dillen, Bronnen tot de geschiedenis van het bedrijfsleven R.G.P. 78(1933), p.48; in 1630, he was said to be impost meester van de wijnen (ibid. p. 709). In 1631, Pieter Jansz. van Loo, living on the Keizersgracht, paid a tax of 20 f. (Kohier fol. 90, p. 22). Abraham Jansz. van Loo was presumably the brother of Pieter Jansz. On 10 July 1635, Abraham Jansz. van Loo, the uncle, and Reynier Ranson, the uncle by marriage, of Sara van Loo (presumably Pieter Jansz.'s sister) brought assets  to the Orphan Chamber for Hester, 14, and Lysbeth, 10, inherited from their grandaunt Lisbeth Ridders (WK 5073/789).   On 8 October 1635,  Harmen Jacobsz. van Doornick, who had been appointed guardian and administrator over the person of Claes van Loo, the orphan child left by Pieter Jansz. van Loo, who had lived on the Bloemgracht, named Hendrick Teunisz., as husband and guardian of Mary Jans, the sister and co-heir of Pieter Jansz. van Loo, to collect rents due to the estate. Claes and Mary Jans divided the estate in equal halves (NA 772, Not. Verhey). On 18 October 1635, the Orphan Chamber received the sum of 968 f. from the estate of Pieter Jansz. van Loo, lyndrayer (linen worker), whose late mother was Ytge Gerrits [G...t]. Pieter Jansz. was apparently not married (WK 5073/789). Pieter van der Loo of INVNO 1310, a diamond cutter and jeweler,  was another individual. Finally, there was a broker named Pieter de Loo who was said to be 36 years old in an act dated 14 October 1637 (NA 522, film 4861). He may be identical with the spices merchant  Pieter van Loo who was said to be 21 years old when he was betrothed to Aeffgen van der Waart,  on 1 February 1625. He was assisted by his aunt Maijken de Vries. Both of the betrothed were living in Leiden (DTB 763/136).",Den 26en maij 1635 zyn de naergelaten goederen van Pieter Jansz. van Loo vercocht.
822,919,Gemeentearchief Amsterdam,WK 5073/961,Orphan Chamber,1635/04/20,Claesz.,Amsterdam,17,Nederland,40 |d  4 st.,1184 |d  12 st.,,,,and his wife Jacobge Jacobs,"Claesz., Hendrick",B,Daniel Jansz. van Beuningen,"Manufacturer |a Dyer, wax bleacher",auction,,In de Bantemstraet in Amsterdam,"The owner of the goods sold in this sale is probably identical with the dyer Hendrick Claesz.  Claes Hendricksz. (of R 7667 of Montias2) who bought most of the works of art in the sale, was the son of the dyer Hendrick Claesz. On the company of dyers formed by Hendrick Claesz. and his brother Willem Hendricksz., which operated from 1631 to 1633, see the NOTES to R 29847 of Montias2.",Den 20e april 1635 zijn de naervolgende goederen van Hendrick Claesz. ende Jacobge Jacobs vercocht.
823,921,Gemeentearchief Amsterdam,WK 5073/961,Orphan Chamber,1635/07/26,Baltes,Amsterdam,22,Nederland,22 |d  16 st.,312 |d  1 st.,,,,,"Baltes, Trijntgen",F,Daniel Jansz. van Beuningen,,auction,,In de St. Angnietiestraet in Amsterdam,,Den 26e julij 1635 zijn de naergleatene goederen van Trijntgen Baltes vercocht.
824,922,Gemeentearchief Amsterdam,WK 5073/961,Orphan Chamber,1635/08/02,Hendricx,Amsterdam,10,Nederland,11 |d  19 st.,407 |d  15 st.,,,,,"Hendricx, Aeltge",F,Daniel Jansz. van Beuningen,,auction,,Ten huyse van Daniel Jansz. in Amsterdam,,Den 2en augusti [1635] zijn de naergelatene goederen van Aeltge Hendricx vercocht.
825,923,Gemeentearchief Amsterdam,WK 5073/961,Orphan Chamber,1635/09/18,Jacobs,Amsterdam,13,Nederland,31 |d  4 st.,407 |d  15 st.,,,,,"Jacobs, Aeltge",F,Daniel Jansz. van Beuningen,,auction,,Ten huyse van Daniel Jansz. in Amsterdam,,Den 18e september [1635]  zijn de naergelatene goederen van Aeltge Jacobs vercocht.
826,924,Gemeentearchief Amsterdam,WK 5073/961,Orphan Chamber,1636/06/23,Lucas,Amsterdam,11,Nederland,167 |d  11 st.,1140 |d  7 st.,1600  |d  1628/11/17  |n Appelman,1625/04/11,Pui,widow of Pieter Appelman,"Lucas, Jannitge",F,Daniel Jansz. van Beuningen,"Manufacturer |a Dyer, wax bleacher",auction,,Op de Zeedijck in Amsterdam,"On 11 April 1625, Pieter Cornelis Appelman, from Amsterdam, 25 years old, living in the N.Z. Achterburchwal, was betrothed to Jannetje van Coengracht widow of Jan Lucasz., schipper (7 years a widow), living on the Zeedijck (DTB 670/46). It is not clear whether the name of the widow, Jannetje Lucas, refers to her first husband's name or to her own patronymic. Pieter Appelman, apparently living in the same house, de Blauwe Hen, as Sybrand Melchiorsz. Appelman bought lots for 1 f. 16 st. in the Haarlem lottery of 1606 (GAA 117/59 F 873). On 9 April 1622, Pieter Appelman, in association with Jan Geurtsz. and Barent Harmansz. set up a wasbleekerij (bleaching works)  (Van Dillen, Bronnen tot de geschiedenis van het bedrijfsleven R.G.P. 78(1933), p. 445.) Jan Geurtsz. may be identical with the procureur of R 21492 of Montias2 or with Jan Geurtsz. van den  Bogaert, the brother of the painter Adriaen van den Bogaert of R 20920 of Montias2.  Barent Harmensz. (of R 26683 of Montias2) was probably the lakenstopper portrayed by Rembrandt in the Night Watch.  On 17 November 1628, Pieter Appelman, coming from the Zeedijck, was buried in the N.K. (8 f. were paid on his behalf to the church) (DTB 1054/43vo.)",Den 23en january 1636 zijn de naergelaten goederen van Jannitge Lucas weduwe van Pieter Appelman vercocht.
839,937,Gemeentearchief Amsterdam,WK 5073/960,Orphan Chamber,1630/01/15,Lourisz.,Amsterdam,7,Nederland,4 |d  5 st.,1311 |d  19 st.,,,,goods sold at request of Hendrick Lensen and Mr. Joris Dijkman on behalf of child left by Thomas Lourisz. and Giertgen Dircx van Nieuhoff,"Lourisz., Thomas",M,,,auction,,Op de Oude Heregracht in Amsterdam,"Hendrick Lensen (or Lens) was a merchant, son of Jan Lens, wine dealer in the Kalverstraet. He married Annetge Simons Roch (Elias, Vroedschap p. 255 and R 36475 of Montias2.) On 23 August 1606, he freighted a ship with Nicolaes Balestel (de oude) of R 36475 (Winkelman, Bronnen voor de geschiedenis van het ooszeehandel  R.G.P. 184(1983), p. 305). Mr. Joris Dijckman was cantor in the Nieuwe Kerck. Lensen and Dijckman were the guardians of the child left by the late Thomas Lourisz. and Giertgen Dircx, to whom the goods sold probably belonged.",Den 15e january 1630 zijn ten versoecke van Henrick Lensen ende Mr. Joris Dijckman voorsanger in the Nieuwe Kerck als voogden van 't nagelatene kind van Thomas Lourisz. ende Giertgen Dircx van Nieuhoff vercocht dese naervolgende goederen.
840,938,Gemeentearchief Amsterdam,WK 5073/960,Orphan Chamber,1630/01/16,Jansz.,Amsterdam,4,Nederland,8 |d  13 st.,395 |d  9,,,,goods sold at request of the brothers Jan and Juriaen Roeloff together with Jan Barentsz. smith and Jan Wesselsz. as guardians of the child of Meyndert Jansz. and Aefge Roeloffsz.,"Jansz., Meyndert",M,,,auction,,Op de Wael in Amsterdam,"The goods sold probably belonged to Meyndert Jansz. and Aelfge Roeloffs. Jan Wesselsz. was one of the guardians of the children of the late couple.  Note that two months earlier, a sale was held at the request of Harmen Roeloffsz. and Jan Wesselsz., guardians of the child left by Pieter Evertsz. and Vroutgen Hendricks (INVNO 939).",Ten selven dag [16 january 1630] zijn ten versoecke van Jan ende Jeuriaen Roeloff gebroeders mitsgaders Jan Barentsz. smith and Jan Wesselsz. als voogden van 't naergelatene kint van Meyndert Jansz. ende Aefge Roeloffs echteluyden vercoft de naervolgende goederen.
842,940,Gemeentearchief Amsterdam,WK 5073/960,Orphan Chamber,1630/02/25,Teunis,Amsterdam,7,Nederland,23 |d ,788 |d ,,,,goods sold at request of Niclaes Cocquus and Pieter de Bitter as guardians over the children left by Femmetge Teunis.,"Teunis, Femmetge",F,Gerrit Jacobsz. Haringh,,auction,,By 't oude glashuijs in Amsterdam,"Femmetge Teunis was the sister of Maritge Teunis (the wife of the painter Barent Thonisz. of R 21348), and the widow of Rutgert Jansz., whose portrait was recorded in this inventory. Rutger Jansz. was perhaps identical with Rutger Jansz. van Dorssen at whose request goods were sold in 1601 (R 690).  Pieter de Bitter was the guardian of the child of Maritie's  first marriage with Jurriaen Fredericxsz. An initial inventory, taken without appraisals, was made on 16 February 1630. Only four portraits were described by subject. The remaining six schilderijtgens were untitled (GAA, not. Westsfrisius, no. 563A). On Nicolas Cocques (or Cocqus), see R 20336 of Montias2. The house of Femmetge Teunis, which was said to be close by the old Glashuis, seems to be the one on the Kloveniersburgwal, next to no. 38, with which it had a common trap en opgang (I. van Eeghen, De restauratie van Kloveniersburgwal 38, Maandblad Amstelodamum, 62(1975), p. 22.) The Oude Glashuis was the glass making plant of Jan Jansz. Karel (later owned by his son-in-law Floris Soop)  on the Kloveniersburgwal. The woman named Femmetje who bought lots in the Haarlem lottery and was said to be living in the house of Jan Jansz. Carel de jonge, was probably identical with Femmetge Theunis of the present inventory  (see Maandblad Amstelodamum 62(1975), p. 134). On Pieter Cocquu (or Cocques), see the NOTES to R 20336 of Montias2; on Pieter de Bitter, the NOTES to R 23618 of Montias2. It is most doubtful whether the following deposition refers to the same Femmetje Theunis. On 4 September 1635, Joris van Nieulandt, 35, coffin maker (not identical with the father of the painter Adriaen van Nieulandt of the same name), 35, living in the St. Jansstraet, and Albert Dircksz., ebony worker, 35, living in the Stoofsteech, declared at the request Femmetje Theunis, who was once married to Bouwen Lourensz., cloth finisher (droochschilder) that they had known Lourens Bouwens who had gone as a sailor (bootsman) on the ship Prince Willem to the East Indies and they are also aware that Lourens was the son of the petitioner. He was the brother of Emertje Bouwens (NA 597, Not. Lamberti). According to Bredius, Femmetje Teunis of the present inventory  was the mother of the well-known merchant David Rutgers. Femmetge did have a son named Rutger Rutsz. who bought a work of art at the sale of her goods (R 37186 of Montias2)There but he was almost certainly not identical with the silk cloth dealer David Rutgers III, the son of David Rutgers II and of Josua Lamberts, the merchant with whom Bredius apparently confused him.  On David Rutgers II and III, see the NOTES to R 37186.",Den 25e february 1630 zyn ten versoecke van Niclaes Cocquus ende Pieter de Bitter als voogden van de nagelatene kinderen van Femmetge Teunis vercocht dese naervolgende goederen.
843,941,Gemeentearchief Amsterdam,WK 5073/960,Orphan Chamber,1630/02/23,Coster,Amsterdam,3,Nederland,14 |d  3 st.,389 |d  2 st.,,,,goods sold at request of Pieter de Bitter,"Coster, Willem de",M,,,auction,,Op de Ossesluijs in Amsterdam,"On Pieter de Bitter, whose relation to Willem de Coster has not been ascertained, see R 23618 of Montias2.",Op den 23e february 1630 zijn ten versoecke van Pieter de Bitter vercocht de goederen achtergelaten by Willem de Coster.
844,942,Gemeentearchief Amsterdam,WK 5073/960,Orphan Chamber,1630/03/01,Gerritsz.,Amsterdam,42,Nederland,45 |d ,1209 |d  4 st. 4 pen.,,,,"goods sold at request of Jacob Jansz. and Leendert Cornelisz., the uncles of the children left by Arent Gerritsz. and Marij Cornelis","Gerritsz., Arent",M,,,auction,,Op de Chingel by de Doelen in Amsterdam,"The goods sold probably belonged to Arent Gerritsz. and Marij Cornelis. The children of Arent Gerritsz., living on the other side of the Breestraet (thus near the Singel), paid a tax of 20 f. in 1631 (Kohier, fol. 18, p. 5). The uncles of the orphan children, at whose request the sale was held, were Leendert Cornelisz., lumber dealer, and Jacob Jansz., beer carrier. On 17 September 1610, a painter named Arent Gerritsz. was named guardian over Claes Jansz. van Soest (WK 5073/513, fol. 138).",Den eersten martj 1630 door last van de heeren weestmeesteren Jacob Jansz. bierdrager ende Leendert Cornelisz. houtcoper als oomen van den achtergelaten kinderen van Arent Gerritsz. ende Marij Cornelis vercocht dese naervolgende goederen.
845,943,Gemeentearchief Amsterdam,WK 5073/961,Orphan Chamber,1635/03/23,Melis,Amsterdam,11,Nederland,13 |d ,469 |d  2 st.,,,,,"Melis, Junnepgen",F,Daniel Jansz. van Beuningen,,auction,,Amsterdam,"The guardian of the child or children of Junnepgen Melis was named Pieter Jansz. Blaeuwenhelm. He seems to have been the brother of Jan Jansz. Blaeuwenhaen (or Blaeuwenhelm) of R 36448 (he appeared as a witness to the baptism of Pieter, son of Johannes Blaeuwenhelm, the son of Jan Jansz., in 1648). He may be identical with Pieter Blaeuwenhaen, the father of Maghtelda Blaeuwenhaen of INVNO 239 and of Maritge Blaeuwenhaen, cited in the TEXT of R 157 of Montias1.",[de nagelatene goederen van] Junnepgen Melis
846,944,Gemeentearchief Amsterdam,WK 5073/961,Orphan Chamber,1635/03/26,Beringe,Amsterdam,5,Nederland,7 |d  15 st.,271 |d  1 st.,,,,,"Beringe, Reijckel van",M,Daniel Jansz. van Beuningen,,auction,,In de Vreesys Armsteegh in Amsterdam,,Den 26 marti [1635] zijn de naergelatene goederen van Reickel van Beringe vercocht.
847,945,Gemeentearchief Amsterdam,WK 5073/961,Orphan Chamber,1635/12/12,Eijnthoven,Amsterdam,19,Nederland,23 |d  3 st.,504 |d  2 st.,?  |d  1635,,,,"Eijnthoven, Abraham van",M,Daniel Jansz. van Beuningen,,auction,,Op de Angeliersgracht in Amsterdam,"There were two individuals living about the same time named Abraham van Eijndhoven. The owner of the goods in the present sale, who lived on the Angeliersgracht, died before 12 December 1635, the date of the sale. The other lived near the Beurs on the Uijterse steechgen on 23 May 1637. It is not known which of the two -- the owner of the goods in this sale who died in 1635 or the one who lived on the Uijterse steechgen in 1637,  was married to whom. On 13 November 1621, Abraham van Eijndhoven, 26, assisted by his father Guill[aume] van Eyndhoven (of R 27656 of Montias2), living on the Coelevriersgracht, was betrothed to Jannetje Willems, no living parents, assisted by her sisters Tryntje and Willeges(?) Willems, living on Uijlenburgh (DTB 426/65). On 4 April 1627, Abraham van Eijndhoven and Jannetje Willems had their son Willem baptized in the N.K. in the presence of Hessel Gerritsz. (presumably the printmaker and cartographer of R 20968 of Montias2) (DTB 40/390). On 7 August 1633, Abraham and Jannetje had their son Abraham baptized in the Remonstrant Church (DTB 301/2). The other couple had children baptized about the same time in the N.K.  On 2 November 1630, Abraham van Einthoven and Sara van Eijnhoven [nee Corput] had their son Abraham baptized in the N.K. (DTB 4/108).  On 16 January 1633, Abraham van Eijnthoven and Sara van de Corput had their son Isaack baptized in the N.K. in the presence of Alijda van Corenput (DTB 41/231). Some clothing in the present sale was bought by Abraham Bouwensz., guardian of the children. This individual, who may have been a painter, is cited in the NOTES to R 32474. But this still does not resolve the problem of identifying the owner of the goods in this sale.",Den 12e december 1635 de naergelaten goederen van Abraham van Eijnthoven vercocht dese naervolgende goederen.
848,946,Gemeentearchief Amsterdam,WK 5073/962,Orphan Chamber,1638/03/15,Colijn,Amsterdam,29,Nederland,25 |d  2 st.,7187 |d  9 st.,,,,,"Colijn, Michiel",M,Daniel Jansz.,Retail merchant |a Book dealer,auction,,Amsterdam,"Michiel Colijn, a well-known book seller, and his wife Trijntje Markes (Marcus), had a child baptized in the O.K. on 9 October 1609 (DTB 4/258). For other biographical information, see the NOTES to R 22124 of Montias2. Michiel Colijn  paid a tax of 60 f. in 1631, living op 't Water (Kohier, fol. 37, p. 9). On 18 December 1623, the engraver Pieter van der Keere offered Michiel Colijn a number of plates, which he refused to accept (Van Dillen, Bronnen tot de geschiedenis van het bedrijfsleven, R.G.P. 78(1933), p.515). He signed the Remonstrant petition of 1628.",Den 15 marij 1638 zijn de nagelate boecken kaerten konstplaten houte figuren achtergelaten bij Michiel Colijn vercocht.
883,1168,,"NA 842, Not. Hoogeboom",Notarial,1630/09/19,Wilde,Amsterdam,12,Nederland,,1787 gulden 12 st.,,,,goods ceded to Jacob Rombouts,"Wilde, Coenradt Martensz. de",M,Hoogeboom,,goods transferred as security for loan of 1787 f. 12 st.,,Amsterdam,"On Coenradt de Wilde Martensz., see R 30051 of Montias2. Rombout Jacobs is probably identical with Rombout Jacobs de jonge of R 26967 of Montias2.","Op den 19e september anno 1630 compareerde etc.. Coenradt de Wilde Martensz. poorter dese voors. stede d'welcke verclaerde dat onder den transporte bij hem gepasseert ten behoeve van Jacob Rombouts voor mij notaris ende sekere getuijgen in dato 14 february 1629 mede specialijk vervaet ende begrepen waren de goederen hierna genomineert, te weten: After the paintings listed and various household items, postscript: ende hij comparant nochmaels acquesterende in de voors. transport, doch onder novatie en prejudicie van dier, gaff over aen den voors. Rombouts ... een somma van 1787 gulden 12 stuivers hem comparant tevooren ten vollen verstreeckt."
